id,date,title,originator,source,documentType,classification,category,evidenceRole,warQuestion,summary,repository,citation,sourceNote,url,scanUrl,ocrUrl,status,tags
siop63-1962-09-22-briefing,1962-09-22,"L.L. Lemnitzer to the President, SIOP 63 Briefing",Lyman L. Lemnitzer / Joint Chiefs of Staff,NSA Nuclear Vault,Briefing memorandum,Top Secret,Strategic nuclear war plan,Current U.S. general nuclear war plan at the time of the crisis,What strategic nuclear options would President Kennedy have had before him in October 1962?,"Briefed Kennedy on SIOP-63 only weeks before the crisis. The document is central because SIOP-63 went into effect on August 1, 1962 and was the U.S. strategic nuclear war plan in force during the missile crisis.","National Archives, RG 218, Records of the Joint Chiefs of Staff, Chairman's Files, Lyman L. Lemnitzer, Box 2","L.L. Lemnitzer to President Kennedy, SIOP 63 Briefing, September 22, 1962.",Posted by the National Security Archive as background document 3 in its SIOP-62/SIOP-63 Nuclear Vault release.,https://nsarchive2.gwu.edu/nukevault/ebb236/index.htm,https://nsarchive2.gwu.edu/nukevault/ebb236/background%20doc%203.pdf,,digitized scan,SIOP-63; Kennedy briefing; strategic war plan; JCS
siop63-1964-01-history,1964-01-01,History of the Joint Strategic Target Planning Staff: Preparation of SIOP-63,"Headquarters, Strategic Air Command, History and Research Division",NSA Nuclear Vault,Official history,"Top Secret, excised copy",Strategic nuclear war plan,"Explains the SIOP-63 options, target planning, and fallout constraints that framed any general nuclear exchange in October 1962",How did the U.S. plan to execute or limit nuclear strikes if a general war began?,"A declassified SAC history of SIOP-63, including the move toward more flexible attack options, counterforce/no-cities concepts, strategic reserve forces, and unresolved command-and-control limits under nuclear-war conditions.",Mandatory Review release and appeal,"Headquarters, Strategic Air Command, History and Research Division, History of the Joint Strategic Target Planning Staff: Preparation of SIOP-63, January 1964.",Released through National Security Archive mandatory review appeals.,https://nsarchive2.gwu.edu/nukevault/ebb236/index.htm,https://nsarchive.gwu.edu/nukevault/ebb285/sidebar/SIOP-63_history.pdf,,digitized scan,SIOP-63; JSTPS; counterforce; fallout; preemption
siop62-1958-11-20-nesc,1958-11-20,Discussion at the 387th Meeting of the National Security Council,National Security Council,NSA Nuclear Vault,NSC memorandum,Top Secret,Damage and casualty expectations,Shows the Net Evaluation Subcommittee method for estimating nuclear-war consequences,"What official machinery estimated deaths, destruction, and military effects in a general nuclear war?","Documents the NSC's use of net evaluations to estimate the effects of nuclear war on the United States, the Soviet Union, allies, civilian fatalities, economic resources, and military capabilities.","Dwight D. Eisenhower Library, Ann Whitman File, NSC Series, Box 10","Memorandum, Discussion at the 387th Meeting of the National Security Council, November 20, 1958.",Posted as document 1 in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-1.pdf,,digitized scan,Net Evaluation Subcommittee; casualties; nuclear effects; NSC
siop62-1960-02-12-appraisal,1960-02-12,Appraisal of Relative Merits of Alternative Retaliatory Efforts,JCS Chairman Nathan Twining / National Security Council,NSA Nuclear Vault,JCS/NSC memorandum,Top Secret,Damage and casualty expectations,Shows target-system choices and the scale of destruction expected from nuclear retaliation,What level of destruction did U.S. planners associate with prevailing in a nuclear exchange?,"Reviews alternatives for retaliation against urban-industrial targets, military targets, and an optimum mix of both. The accompanying release context identifies the document as a key source for expected city destruction and mass casualties.","National Archives, RG 218, JCS Chairman Nathan Twining Papers, 381 Net Evaluation","Nathan Twining to Director, Joint Staff, Appraisal of Relative Merits of Alternative Retaliatory Efforts, February 19, 1960, enclosing memorandum to the President, February 12, 1960.",Posted as document 4 in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-4.pdf,,digitized scan,retaliation; urban-industrial targets; optimum mix; casualties
siop62-1960-10-26-sac-targeting,1960-10-26,SAC Use of Computers in Targeting,Rear Adm. Paul Blackburn,NSA Nuclear Vault,Navy staff memorandum,Top Secret,Strategic nuclear war plan,Shows how the JSTPS constructed target lists and attack plans,How would U.S. planners have matched nuclear weapons to Soviet-bloc targets?,"Explains the practical targeting process behind SIOP-62, including desired ground zeroes, assumptions about high-yield weapons, and surface-burst planning that would have produced heavy fallout.","U.S. Navy Operational Archives, Arleigh Burke Papers, SIOP/NSTL Briefing Folder","Rear Adm. Paul Blackburn to Chief of Naval Operations, SAC Use of Computers in Targeting, October 26, 1960.",Posted as document 13 in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-13.pdf,,digitized scan,targeting; DGZ; surface bursts; fallout; SAC
siop62-1960-10-29-alert-force,1960-10-29,JCS Liaison Group Cable on SIOP Alert Force Planning,"Gen. Berton E. Spivy, JCS Liaison Group",NSA Nuclear Vault,JCS liaison cable,Top Secret,Strategic nuclear war plan,"Shows alert-force size, target coverage, and execution assumptions",What forces and target counts would a rapid U.S. nuclear strike have involved?,"Reports on alert-force planning, delivery vehicles, weapons, targets, damage expectancy, and execution timing. It is one of the clearest declassified windows into how many weapons could be launched early in the plan.","U.S. Navy Operational Archives, Arleigh Burke Papers, SIOP/NSTL Briefing Folder","Gen. Berton E. Spivy, JCS Liaison Group, Offutt AFB, cable to JCS, October 29, 1960.",Posted as document 14 in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-14.pdf,,digitized scan,alert force; weapons; targets; execution timing
siop62-1960-12-30-review,1960-12-30,Review of the NSTL/SIOP-62 and Related Policy Guidance,Joint Chiefs of Staff,NSA Nuclear Vault,JCS note,Top Secret,Damage and casualty expectations,Records senior objections that SIOP damage and population casualties were excessive,Did U.S. officials understand that the war plan could produce destruction beyond military requirements?,"Includes service-level critiques of SIOP-62 damage criteria, casualty levels, radiation assumptions, and the need to understand worldwide contamination effects.","National Archives, RG 218, Records of the Joint Chiefs of Staff, Decimal Files","Note by the Secretaries to the Joint Chiefs of Staff, Review of the NSTL/SIOP-62 and Related Policy Guidance, JCS 2056/197, December 30, 1960.",Posted as document 19 in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-19.pdf,,digitized scan,casualties; radiation; worldwide contamination; SIOP-62
siop62-1961-01-27-kistiakowsky,1961-01-27,Strategic Target Planning,Joint Chiefs of Staff,NSA Nuclear Vault,JCS note,"Top Secret, excised copy",Damage and casualty expectations,Captures White House science-adviser concerns about excessive force requirements,What internal critiques existed before Kennedy inherited the SIOP?,"Records George Kistiakowsky's review of SIOP-62 and the problems created by high assurance criteria, repeated weapons on the same targets, and limited presidential flexibility.","National Archives, RG 218, Records of the Joint Chiefs of Staff, Decimal Files","Note by the Secretaries to the Joint Chiefs of Staff on Strategic Target Planning, JCS 2056/208, January 27, 1961.",Posted as document 23 in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-23.pdf,,digitized scan,Kistiakowsky; overkill; assurance criteria; SIOP review
siop62-1961-02-06-mcnamara-jstps,1961-02-06,Secretary McNamara's Visit to the JSTPS,Joint Strategic Target Planning Staff,NSA Nuclear Vault,Memorandum for the record,Top Secret,Damage and casualty expectations,Shows McNamara's early confrontation with nuclear targeting and urban destruction,What did the Defense Department know about how much force SIOP strikes would apply to cities and targets?,"Documents McNamara's February 1961 visit to Offutt Air Force Base and questions about weapons, target coverage, urban-industrial targets, fallout, and damage levels.",FOIA release to National Security Archive,"Memorandum for the Record, Secretary McNamara's Visit to the JSTPS, February 6, 1961.",Posted as document 24B in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-24b.pdf,,digitized scan,McNamara; JSTPS; urban-industrial targets; fallout
siop62-1961-02-11-review,1961-02-11,Review of the NSTL/SIOP-62 and Related Policy Guidance,Joint Chiefs of Staff,NSA Nuclear Vault,JCS note,"Top Secret, excised copy",Strategic nuclear war plan,Shows the all-or-nothing character and China problem in early SIOP planning,Could the United States easily withhold attacks on countries not directly involved in the crisis?,"Includes high-level debate over whether the plan could avoid striking China or other targets if they were not involved, a core issue for any Cuba-triggered general war.","National Archives, RG 218, Records of the Joint Chiefs of Staff, Decimal Files","Note by the Secretaries to the Joint Chiefs of Staff, Review of the NSTL/SIOP-62 and Related Policy Guidance, JCS 2056/220, February 11, 1961.",Posted as document 25 in the National Security Archive SIOP-62 release.,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/index.htm,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB130/SIOP-25.pdf,,digitized scan,China; withholds; all-out plan; SIOP flexibility
